# name	cardType	attribute	monsterType	monsterAbility	type	level	attack	defense	lpendulum	rpendulum	spellType	trapType
3-Hump Lacooda	Monster	Earth	Effect	None	Beast	3	500	1500	0	0	None	None
4-Starred Ladybug of Doom	Monster	Wind	Effect	None	Insect	3	800	1200	0	0	None	None
7 Colored Fish	Monster	Water	Normal	None	Fish	4	1800	800	0	0	None	None
8-Claws Scorpion	Monster	Dark	Effect	None	Insect	2	300	200	0	0	None	None
Abaki	Monster	Fire	Effect	None	Fiend	4	1700	1000	0	0	None	None
Abare Ushioni	Monster	Earth	Effect	None	BeastWarrior	4	1200	1200	0	0	None	None
Absolute Crusader	Monster	Earth	Effect	None	Warrior	4	1800	1200	0	0	None	None
Absorbing Kid from the Sky	Monster	Light	Effect	None	Fairy	4	1300	1000	0	0	None	None
Abyss Soldier	Monster	Water	Effect	None	Aqua	4	1800	1300	0	0	None	None
Abyssal Kingshark	Monster	Water	Effect	None	Fish	4	1700	600	0	0	None	None
A Cat of Ill Omen	Monster	Dark	Effect	None	Beast	2	500	300	0	0	None	None
Achacha Archer	Monster	Fire	Effect	None	Warrior	3	1200	600	0	0	None	None
Acorno	Monster	Earth	Effect	None	Plant	1	200	400	0	0	None	None
Acrobat Monkey	Monster	Earth	Normal	None	Machine	3	1000	1800	0	0	None	None
A/D Changer	Monster	Light	Effect	None	Warrior	1	100	100	0	0	None	None
Adhesive Explosive	Monster	Wind	Effect	None	Machine	3	1000	1000	0	0	None	None
Adreus, Keeper of Armageddon	Monster	Dark	Xyz	Effect	Fiend	5	2600	1700	0	0	None	None
Aggiba, the Malevolent Sh'nn S'yo	Monster	Light	Effect	None	Fiend	10	3000	3000	0	0	None	None
Agido	Monster	Earth	Effect	None	Fairy	4	1500	1300	0	0	None	None
Airknight Parshath	Monster	Light	Effect	None	Fairy	5	1900	1400	0	0	None	None
Airorca	Monster	Wind	Effect	None	SeaSerpent	3	1400	300	0	0	None	None
Aitsu	Monster	Fire	Normal	None	Fairy	5	100	100	0	0	None	None
Akz, the Pumer	Monster	Earth	Effect	None	BeastWarrior	6	1500	1000	0	0	None	None
Alchemist of Black Spells	Monster	Wind	Effect	None	Spellcaster	4	1200	1800	0	0	None	None
Alector, Sovereign of Birds	Monster	Wind	Effect	None	WingedBeast	6	2400	2000	0	0	None	None
Alexandrite Dragon	Monster	Light	Normal	None	Dragon	4	2000	100	0	0	None	None
Alien Ammonite	Monster	Light	Effect	Tuner	Reptile	1	500	200	0	0	None	None
Alien Dog	Monster	Light	Effect	None	Reptile	3	1500	1000	0	0	None	None
Alien Grey	Monster	Light	Effect	None	Reptile	2	300	800	0	0	None	None
Alien Hunter	Monster	Water	Effect	None	Reptile	4	1600	800	0	0	None	None
Alien Hypno	Monster	Water	Effect	Gemini	Reptile	4	1600	700	0	0	None	None
Alien Infiltrator	Monster	Earth	Effect	None	Reptile	2	800	500	0	0	None	None
Alien Kid	Monster	Light	Effect	None	Reptile	4	1600	700	0	0	None	None
Alien Mars	Monster	Fire	Effect	None	Reptile	3	1000	1000	0	0	None	None
Alien Mother	Monster	Dark	Effect	None	Reptile	6	2300	1500	0	0	None	None
Alien Overlord	Monster	Dark	Effect	None	Reptile	6	2200	1600	0	0	None	None
Alien Psychic	Monster	Dark	Effect	None	Reptile	1	200	100	0	0	None	None
Alien Shocktrooper	Monster	Earth	Normal	None	Reptile	4	1900	800	0	0	None	None
Alien Skull	Monster	Wind	Effect	None	Reptile	4	1600	1800	0	0	None	None
Alien Telepath	Monster	Fire	Effect	None	Reptile	4	1600	1000	0	0	None	None
Alien Warrior	Monster	Earth	Effect	None	Reptile	4	1800	1000	0	0	None	None
Alligator's Sword	Monster	Earth	Normal	None	Beast	4	1500	1200	0	0	None	None
Alligator's Sword Dragon	Monster	Wind	Fusion	Effect	Dragon	5	1700	1500	0	0	None	None
Allure Queen LV3	Monster	Dark	Effect	None	Spellcaster	3	500	500	0	0	None	None
Allure Queen LV5	Monster	Dark	Effect	None	Spellcaster	5	1000	1000	0	0	None	None
