# date	name	status
Illegal	Aggiba, the Malevolent Sh'nn S'yo	Illegal
Illegal	Armament of the Lethal Lords	Illegal
Illegal	Chimaera, the Master of Beasts	Illegal
Illegal	Emperor of Lightning	Illegal
Illegal	Get Your Game On!	Illegal
Illegal	Grizzly, the Red Star Beast	Illegal
Illegal	King Landia the Goldfang	Illegal
Illegal	King of Destruction - Xexex	Illegal
Illegal	Lorelei, the Symphonic Arsenal	Illegal
Illegal	Meteo the Matchless	Illegal
Illegal	Obelisk the Tormentor (original)	Illegal
Illegal	Queen Nereia the Silvercrown	Illegal
Illegal	Queen of Fate - Eternia	Illegal
Illegal	The Seal of Orichalcos	Illegal
Illegal	Skuna, the Leonine Rakan	Illegal
Illegal	Slifer the Sky Dragon (original)	Illegal
Illegal	Stardust Divinity	Illegal
Illegal	Testament of the Arcane Lords	Illegal
Illegal	The Winged Dragon of Ra (original)	Illegal
Illegal	Tyr, the Vanquishing Warlord	Illegal
Illegal	Ulevo	Illegal
2002 May	Cyber Jar	Limited
2002 May	Exodia the Forbidden One	Limited
2002 May	Jinzo	Limited
2002 May	Left Arm of the Forbidden One	Limited
2002 May	Left Leg of the Forbidden One	Limited
2002 May	Morphing Jar	Limited
2002 May	Right Leg of the Forbidden One	Limited
2002 May	Right Arm of the Forbidden One	Limited
2002 May	Card Destruction	Limited
2002 May	Change of Heart	Limited
2002 May	Confiscation	Limited
2002 May	Dark Hole	Limited
2002 May	Delinquent Duo	Limited
2002 May	Harpie's Feather Duster	Limited
2002 May	Mage Power	Limited
2002 May	Monster Reborn	Limited
2002 May	Painful Choice	Limited
2002 May	Pot of Greed	Limited
2002 May	Premature Burial	Limited
2002 May	Raigeki	Limited
2002 May	Snatch Steal	Limited
2002 May	The Forceful Sentry	Limited
2002 May	United We Stand	Limited
2002 May	Upstart Goblin	Limited
2002 May	Call of the Haunted	Limited
2002 May	Ceasefire	Limited
2002 May	Imperial Order	Limited
2002 May	Magic Cylinder	Limited
2002 May	Mirror Force	Limited
2002 May	Ring of Destruction	Limited
2002 May	Sangan	Semi-limited
2002 May	Witch of the Black Forest	Semi-limited
2002 May	Morphing Jar 2	Semi-limited
2002 May	Graceful Charity	Semi-limited
2002 May	Nobleman of Crossout	Semi-limited
2002 May	Heavy Storm	Semi-limited
2002 May	Swords of Revealing Light	Semi-limited
2002 May	Backup Soldier	Semi-limited
2003 Sep	Breaker the Magical Warrior	Limited
2003 Sep	Butterfly Dagger - Elma	Limited
2003 Sep	Chaos Emperor Dragon - Envoy of the End	Limited
2003 Sep	Creature Swap	Semi-limited
2003 Sep	Cyber Jar	Limited
2003 Sep	Exiled Force	Limited
2003 Sep	Exodia the Forbidden One	Limited
2003 Sep	Fiber Jar	Limited
2003 Sep	Injection Fairy Lily	Forbidden
2003 Sep	Jinzo	Limited
2003 Sep	Left Arm of the Forbidden One	Limited
2003 Sep	Left Leg of the Forbidden One	Limited
2003 Sep	Morphing Jar	Limited
2003 Sep	Makyura the Destructor	Semi-limited
2003 Sep	Marauding Captain	Semi-limited
2003 Sep	Reinforcement of the Army	Semi-limited
2003 Sep	Right Leg of the Forbidden One	Limited
2003 Sep	Right Arm of the Forbidden One	Limited
